iter	Passed	Remaining
0	32	1580
1	63	1519
2	94	1481
3	128	1479
4	160	1446
5	187	1375
6	218	1339
7	251	1321
8	280	1278
9	311	1244
10	337	1195
11	365	1156
12	394	1124
13	425	1094
14	452	1056
15	481	1023
16	515	1000
17	545	969
18	573	935
19	599	899
20	628	868
21	658	838
22	684	803
23	714	773
24	741	741
25	772	713
26	800	681
27	828	650
28	859	622
29	886	591
30	915	561
31	943	530
32	978	504
33	1005	472
34	1035	443
35	1066	414
36	1095	384
37	1122	354
38	1151	324
39	1176	294
40	1199	263
41	1231	234
42	1305	212
43	1351	184
44	1382	153
45	1413	122
46	1439	91
47	1464	61
48	1492	30
49	1525	0
